Kinase,data,mean
TEC,,0.0796788854082067
PDGFR,,0.2346481615541734
SYK,,0.18695456821016804
EGFR,,0.26865951214382544
CSK,,0.13822257757515455
ABL,,0.224124221503737
FAK,,0.4716857326802665
ACK,,0.03330585910787609
AXL,,0.2606100441902527
JAK,,0.031156339529613136
SRC,,0.22600811837289028
RET,,0.07854763011388277
VEGFR,,-0.1847077200390363
INSR,,0.3028612342646205
TRK,,-0.021167533956451514
FRK,,0.15264332684062903
MET,,0.1422306076744429
FGFR,,0.06383417063093294
DDR,,0.05172473002958406
EPH,,0.2023573138954188
FER,,-0.23615069462255844
ALK,,0.1347337637803261
NA,,-0.3305546108355355
RYK,,1.3266351346205054
SEV,,-0.02555642941386937
